,0,1,2,3,4,5,6,7,8,9,10,11
339,X,,,,,O,,,,X,2,3
340,X,,,X,,O,,,,O,0,1
341,X,O,,X,,O,,,,X,2,7
342,X,O,,X,,O,,X,,O,0,4
343,X,O,,X,O,O,,X,,X,2,6
344,,,,,,,,,,X,2,0
345,X,,,,,,,,,O,0,4
346,X,,,,O,,,,,X,2,6
347,X,,,,O,,X,,,O,0,2
348,X,,O,,O,,X,,,X,2,7
349,X,,O,,O,,X,X,,O,0,1
350,X,O,O,,O,,X,X,,X,2,8
351,,,,,,,,,,X,2,3
352,,,,X,,,,,,O,0,4
353,,,,X,O,,,,,X,2,5
354,,,,X,O,X,,,,O,0,1
355,,O,,X,O,X,,,,X,2,6
356,,O,,X,O,X,X,,,O,0,2
357,,O,O,X,O,X,X,,,X,2,0
358,,,,,,,,,,X,2,5
359,,,,,,X,,,,O,0,0
360,O,,,,,X,,,,X,2,6
361,O,,,,,X,X,,,O,0,3
362,O,,,O,,X,X,,,X,2,8
363,O,,,O,,X,X,,X,O,0,4
364,O,,,O,O,X,X,,X,X,2,7
365,,,,,,,,,,X,0,4
366,,,,,X,,,,,O,2,1
367,,O,,,X,,,,,X,0,8
368,,O,,,X,,,,X,O,2,0
369,O,O,,,X,,,,X,X,0,3
370,O,O,,X,X,,,,X,O,2,6
371,O,O,,X,X,,O,,X,X,0,7
372,O,O,,X,X,,O,X,X,O,2,2
373,,,,,,,,,,X,2,1
374,,X,,,,,,,,O,0,4
375,,X,,,O,,,,,X,2,7
376,,X,,,O,,,X,,O,0,5
377,,X,,,O,O,,X,,X,2,3
378,,X,,X,O,O,,X,,O,0,0
379,O,X,,X,O,O,,X,,X,2,8
380,O,X,,X,O,O,,X,X,O,0,2
381,O,X,O,X,O,O,,X,X,X,2,6
382,,,,,,,,,,X,2,6
383,,,,,,,X,,,O,0,5
384,,,,,,O,X,,,X,2,4
385,,,,,X,O,X,,,O,0,3
386,,,,O,X,O,X,,,X,2,0
387,X,,,O,X,O,X,,,O,0,1
388,X,O,,O,X,O,X,,,X,2,7
389,X,O,,O,X,O,X,X,,O,0,2
390,X,O,O,O,X,O,X,X,,X,2,8
391,,,,,,,,,,X,0,8
392,,,,,,,,,X,O,2,2
393,,,O,,,,,,X,X,0,3
394,,,O,X,,,,,X,O,2,7
395,,,O,X,,,,O,X,X,0,5
396,,,O,X,,X,,O,X,O,2,1
397,,O,O,X,,X,,O,X,X,0,6
398,,O,O,X,,X,X,O,X,O,2,0
399,,,,,,,,,,X,2,4
400,,,,,X,,,,,O,0,8
401,,,,,X,,,,O,X,2,6
402,,,,,X,,X,,O,O,0,2
403,,,O,,X,,X,,O,X,2,1
404,,X,O,,X,,X,,O,O,0,7
405,,X,O,,X,,X,O,O,X,2,5
406,,X,O,,X,X,X,O,O,O,0,0
407,O,X,O,,X,X,X,O,O,X,2,3
408,,,,,,,,,,X,2,1
409,,X,,,,,,,,O,0,2
410,,X,O,,,,,,,X,2,0
411,X,X,O,,,,,,,O,0,5
412,X,X,O,,,O,,,,X,2,7
413,X,X,O,,,O,,X,,O,0,6
414,X,X,O,,,O,O,X,,X,2,8
415,X,X,O,,,O,O,X,X,O,0,3
416,X,X,O,O,,O,O,X,X,X,2,4
417,,,,,,,,,,X,2,6
418,,,,,,,X,,,O,0,3
419,,,,O,,,X,,,X,2,4
420,,,,O,X,,X,,,O,0,0
421,O,,,O,X,,X,,,X,2,5
422,O,,,O,X,X,X,,,O,0,2
423,O,,O,O,X,X,X,,,X,2,1
424,O,X,O,O,X,X,X,,,O,0,8
425,O,X,O,O,X,X,X,,O,X,2,7
426,,,,,,,,,,X,0,7
427,,,,,,,,X,,O,2,8
428,,,,,,,,X,O,X,0,2
429,,,X,,,,,X,O,O,2,0
430,O,,X,,,,,X,O,X,0,5
431,O,,X,,,X,,X,O,O,2,6
432,O,,X,,,X,O,X,O,X,0,1
433,O,X,X,,,X,O,X,O,O,2,3
434,,,,,,,,,,X,2,1
435,,X,,,,,,,,O,0,0
436,O,X,,,,,,,,X,2,6
437,O,X,,,,,X,,,O,0,2
438,O,X,O,,,,X,,,X,2,4
439,O,X,O,,X,,X,,,O,0,3
440,O,X,O,O,X,,X,,,X,2,5
441,O,X,O,O,X,X,X,,,O,0,8
442,O,X,O,O,X,X,X,,O,X,2,7
443,,,,,,,,,,X,2,4
444,,,,,X,,,,,O,0,2
445,,,O,,X,,,,,X,2,8
446,,,O,,X,,,,X,O,0,0
447,O,,O,,X,,,,X,X,2,7
448,O,,O,,X,,,X,X,O,0,6
449,O,,O,,X,,O,X,X,X,2,3
450,O,,O,X,X,,O,X,X,O,0,5
451,O,,O,X,X,O,O,X,X,X,2,1
452,,,,,,,,,,X,2,4
453,,,,,X,,,,,O,0,7
454,,,,,X,,,O,,X,2,3
455,,,,X,X,,,O,,O,0,0
456,O,,,X,X,,,O,,X,2,5
457,,,,,,,,,,X,0,7
458,,,,,,,,X,,O,2,0
459,O,,,,,,,X,,X,0,1
460,O,X,,,,,,X,,O,2,6
461,O,X,,,,,O,X,,X,0,2
462,O,X,X,,,,O,X,,O,2,3
463,,,,,,,,,,X,2,1
464,,X,,,,,,,,O,0,5
465,,X,,,,O,,,,X,2,4
466,,X,,,X,O,,,,O,0,8
467,,X,,,X,O,,,O,X,2,2
468,,X,X,,X,O,,,O,O,0,3
469,,X,X,O,X,O,,,O,X,2,6
470,,,,,,,,,,X,1,5
471,,,,,,X,,,,O,1,7
472,,,,,,X,,O,,X,1,0
473,X,,,,,X,,O,,O,1,3
474,X,,,O,,X,,O,,X,1,6
475,X,,,O,,X,X,O,,O,1,2
476,X,,O,O,,X,X,O,,X,1,1
477,X,X,O,O,,X,X,O,,O,1,4
478,X,X,O,O,O,X,X,O,,X,1,8
479,,,,,,,,,,X,2,0
480,X,,,,,,,,,O,0,7
481,X,,,,,,,O,,X,2,8
482,X,,,,,,,O,X,O,0,2
483,X,,O,,,,,O,X,X,2,1
484,X,X,O,,,,,O,X,O,0,5
485,X,X,O,,,O,,O,X,X,2,3
486,X,X,O,X,,O,,O,X,O,0,6
487,X,X,O,X,,O,O,O,X,X,2,4
488,,,,,,,,,,X,2,7
489,,,,,,,,X,,O,0,0
490,O,,,,,,,X,,X,2,2
491,O,,X,,,,,X,,O,0,6
492,O,,X,,,,O,X,,X,2,8
493,O,,X,,,,O,X,X,O,0,4
494,O,,X,,O,,O,X,X,X,2,5
495,,,,,,,,,,X,0,0
496,X,,,,,,,,,O,2,2
497,X,,O,,,,,,,X,0,6
498,X,,O,,,,X,,,O,2,3
499,X,,O,O,,,X,,,X,0,1
500,X,X,O,O,,,X,,,O,2,8
501,X,X,O,O,,,X,,O,X,0,4
502,X,X,O,O,X,,X,,O,O,2,5
503,,,,,,,,,,X,2,4
504,,,,,X,,,,,O,0,6
505,,,,,X,,O,,,X,2,1
506,,X,,,X,,O,,,O,0,5
507,,X,,,X,O,O,,,X,2,8
508,,X,,,X,O,O,,X,O,0,3
509,,X,,O,X,O,O,,X,X,2,7
510,,,,,,,,,,X,1,8
511,,,,,,,,,X,O,1,2
512,,,O,,,,,,X,X,1,4
513,,,O,,X,,,,X,O,1,0
514,O,,O,,X,,,,X,X,1,3
515,O,,O,X,X,,,,X,O,1,7
516,O,,O,X,X,,,O,X,X,1,6
517,O,,O,X,X,,X,O,X,O,1,5
518,O,,O,X,X,O,X,O,X,X,1,1
519,,,,,,,,,,X,2,1
520,,X,,,,,,,,O,0,7
521,,X,,,,,,O,,X,2,8
522,,X,,,,,,O,X,O,0,6
523,,X,,,,,O,O,X,X,2,2
524,,X,X,,,,O,O,X,O,0,5
525,,X,X,,,O,O,O,X,X,2,4
526,,X,X,,X,O,O,O,X,O,0,3
527,,X,X,O,X,O,O,O,X,X,2,0
528,,,,,,,,,,X,2,5
529,,,,,,X,,,,O,0,2
530,,,O,,,X,,,,X,2,4
531,,,O,,X,X,,,,O,0,8
532,,,O,,X,X,,,O,X,2,7
533,,,O,,X,X,,X,O,O,0,1
534,,O,O,,X,X,,X,O,X,2,0
535,X,O,O,,X,X,,X,O,O,0,6
536,X,O,O,,X,X,O,X,O,X,2,3
537,,,,,,,,,,X,0,6
538,,,,,,,X,,,O,2,1
539,,O,,,,,X,,,X,0,7
540,,O,,,,,X,X,,O,2,4
541,,O,,,O,,X,X,,X,0,2
542,,O,X,,O,,X,X,,O,2,5
543,,O,X,,O,O,X,X,,X,0,0
544,X,O,X,,O,O,X,X,,O,2,3
545,,,,,,,,,,X,2,4
546,,,,,X,,,,,O,0,2
547,,,O,,X,,,,,X,2,3
548,,,O,X,X,,,,,O,0,0
549,O,,O,X,X,,,,,X,2,1
550,O,X,O,X,X,,,,,O,0,7
551,O,X,O,X,X,,,O,,X,2,6
552,O,X,O,X,X,,X,O,,O,0,8
553,O,X,O,X,X,,X,O,O,X,2,5
554,,,,,,,,,,X,1,1
555,,X,,,,,,,,O,1,3
556,,X,,O,,,,,,X,1,8
557,,X,,O,,,,,X,O,1,4
558,,X,,O,O,,,,X,X,1,5
559,,X,,O,O,X,,,X,O,1,6
560,,X,,O,O,X,O,,X,X,1,7
561,,X,,O,O,X,O,X,X,O,1,2
562,,X,O,O,O,X,O,X,X,X,1,0
563,,,,,,,,,,X,2,2
564,,,X,,,,,,,O,0,3
565,,,X,O,,,,,,X,2,7
566,,,X,O,,,,X,,O,0,6
567,,,X,O,,,O,X,,X,2,0
568,X,,X,O,,,O,X,,O,0,4
569,X,,X,O,O,,O,X,,X,2,8
570,X,,X,O,O,,O,X,X,O,0,1
571,X,O,X,O,O,,O,X,X,X,2,5
572,,,,,,,,,,X,2,3
573,,,,X,,,,,,O,0,6
574,,,,X,,,O,,,X,2,1
575,,X,,X,,,O,,,O,0,4
576,,X,,X,O,,O,,,X,2,5
577,,X,,X,O,X,O,,,O,0,7
578,,X,,X,O,X,O,O,,X,2,8
579,,X,,X,O,X,O,O,X,O,0,0
580,O,X,,X,O,X,O,O,X,X,2,2
581,,,,,,,,,,X,2,8
582,,,,,,,,,X,O,0,7
583,,,,,,,,O,X,X,2,4
584,,,,,X,,,O,X,O,0,6
585,,,,,X,,O,O,X,X,2,2
586,,,X,,X,,O,O,X,O,0,3
587,,,X,O,X,,O,O,X,X,2,0
588,,,,,,,,,,X,2,6
589,,,,,,,X,,,O,0,8
590,,,,,,,X,,O,X,2,4
591,,,,,X,,X,,O,O,0,7
592,,,,,X,,X,O,O,X,2,1
593,,X,,,X,,X,O,O,O,0,0
594,O,X,,,X,,X,O,O,X,2,5
595,O,X,,,X,X,X,O,O,O,0,2
596,O,X,O,,X,X,X,O,O,X,2,3
597,,,,,,,,,,X,0,7
598,,,,,,,,X,,O,2,1
599,,O,,,,,,X,,X,0,5
600,,O,,,,X,,X,,O,2,6
601,,O,,,,X,O,X,,X,0,8
602,,O,,,,X,O,X,X,O,2,2
603,,O,O,,,X,O,X,X,X,0,3
604,,O,O,X,,X,O,X,X,O,2,0
